Id,Label,Weight
0,vzcrab,1.0
1,m-wells,1.0
2,nigeljames-tess,1.0
3,WhyNotHugo,1.0
4,baoyachi,1.0
5,eaingaran,1.0
6,steve-ross,1.0
7,ckt114,1.0
8,gaykitty,1.0
9,eugenesvk,1.0
10,esoterick,1.0
11,dpgeekzero,1.0
12,jackdorland,1.0
13,AlecRust,1.0
14,Rustmilian,1.0
15,iznogoud-zz,1.0
16,lkonya,1.0
17,FlyinPancake,1.0
18,RobLOlson,1.0
19,Systemcluster,1.0
20,jeka,1.0
21,Czyhandsome,1.0
22,fangykai,1.0
23,ognevny,1.0
24,rbjorklin,1.0
25,adrien-berchet,1.0
26,Qpp0,1.0
27,twirrim,1.0
28,kaimunlau,1.0
29,DisplayGFX,1.0
30,lacasian,1.0
31,ArcticSpaceFox,1.0
32,garymm,1.0
33,in2erval,1.0
34,etircopyh,1.0
35,diktomat,1.0
36,m-nolan,1.0
37,dead10ck,1.0
38,stevenxxiu,1.0
39,limjh16,1.0
40,mika-fischer,1.0
41,olivier-fs,1.0
42,tsujigiri,1.0
43,dalisoft,1.0
44,Sayanel01,1.0
45,nalmeida,1.0
46,soraxas,1.0
47,wangl-cc,1.0
48,cfal,1.0
49,Long-Tu,1.0
50,ejortegau,1.0
51,KSXGitHub,1.0
52,emarsk,1.0
53,oriongonza,1.0
54,ThomasAdam,1.0
55,Icelk,1.0
56,nelchael,1.0
57,jsnider-mtu,1.0
58,Embers-of-the-Fire,1.0
59,andrewrynhard,1.0
60,DavidH51200,1.0
61,woelfman,1.0
62,geri1701,1.0
63,muhac,1.0
64,SteveDevOps,1.0
65,Masber,1.0
66,bekicot,1.0
67,znmeb,1.0
68,ericbn,1.0
69,vigna,1.0
70,tomByrer,1.0
71,c33s,1.0
72,mheuvel-dev,1.0
73,fatso83,1.0
74,michohl,1.0
75,Igetin,1.0
76,jaspermayone,1.0
77,nim65s,1.0
78,sh4r1k7,1.0
79,mmng-a,1.0
80,Mythra,1.0
81,p00f,1.0
82,LitoMore,1.0
83,Aloso,1.0
84,sngo666,1.0
85,halcwb,1.0
86,fniko,1.0
87,mikan-megane,1.0
88,kamialie,1.0
89,bhagatparwinder,1.0
90,mhunsber,1.0
91,tryyoung,1.0
92,davidkvc,1.0
93,Reboot-Codes,1.0
94,crdiaz324,1.0
95,Josh-Jo1,1.0
96,TDH55,1.0
97,yacoob,1.0
98,fu050409,1.0
99,cboecking,1.0
100,AminurAlam,1.0
101,JooDye,1.0
102,mbainter,1.0
103,boanergies,1.0
104,Will-W,1.0
105,cutwater,1.0
106,DataHearth,1.0
107,carloscarval,1.0
108,Konfekt,1.0
109,arcnmx,1.0
110,BuggStream,1.0
111,texastoland,1.0
112,j-lakeman,1.0
113,basbebe,1.0
114,Integralist,1.0
115,gotjoshua,1.0
116,dsbert,1.0
117,IceSentry,1.0
118,tj-moody,1.0
119,svpace,1.0
120,logicbomb421,1.0
121,edubxb,1.0
122,Ben-PH,1.0
123,tsvikas,1.0
124,spf13,1.0
125,ahusby,1.0
126,tanmaychimurkar,1.0
127,wfdewith,1.0
128,br3ndonland,1.0
129,tungstengmd,1.0
130,oblivikun,1.0
131,Pika-Pool,1.0
132,CanvasofSpores,1.0
133,benruijl,1.0
134,rochdev,1.0
135,omegahm,1.0
136,jmgilman,1.0
137,lebensterben,1.0
138,xeho91,1.0
139,numToStr,1.0
140,koppor,1.0
141,EdBab,1.0
142,jcwilson,1.0
143,TomBaxter,1.0
144,saghm,1.0
145,yunielrc,1.0
146,nkoehring,1.0
147,Dich0tomy,1.0
148,aurexav,1.0
149,jRimbault,1.0
150,TeddyHuang-00,1.0
151,alesso-x,1.0
152,simonrouse9461,1.0
153,xxchan,1.0
154,onlyutkarsh,1.0
155,alephalpha0,1.0
156,LandonSchropp,1.0
157,CrawKatt,1.0
158,720720,1.0
159,m-aherron,1.0
160,NeodymiumFerBore,1.0
161,Ju42,1.0
162,Mithrandir2k18,1.0
163,Gestas,1.0
164,stevenwalton,1.0
165,aaron13223,1.0
166,doy,1.0
167,deanpcmad,1.0
168,hemna,1.0
169,sidmadala,1.0
170,switowski,1.0
171,nishantsikarwar,1.0
172,Pikabyte,1.0
173,FollowTheProcess,1.0
174,justinesmithies,1.0
175,Zikoel,1.0
176,lmcelhiney,1.0
177,benediktms,1.0
178,philippetev,1.0
179,nagromc,1.0
180,diminutivesloop,1.0
181,jorda0mega,1.0
182,chenyanchen,1.0
183,zfwf,1.0
184,koiralakiran1,1.0
185,NoahRoseLedesma,1.0
186,byjokese,1.0
187,ramki88,1.0
188,deekshithanand,1.0
189,chlopes,1.0
190,thefueley,1.0
191,brunobord,1.0
192,mjgritli,1.0
193,Asepsis,1.0
194,balki,1.0
195,breun,1.0
196,meetxinzhang,1.0
197,Calange,1.0
198,bertof,1.0
199,WilliamBy,1.0
200,jlau-ice,1.0
201,muuvmuuv,1.0
202,MCMaurer,1.0
203,rossburton,1.0
204,spkane,1.0
205,sschleemilch,1.0
206,hrqmonteiro,1.0
207,brian-arms,1.0
208,hiteshjoshi,1.0
209,GeorgePetri,1.0
210,elman22,1.0
211,kfrncs,1.0
212,CouldBeThis,1.0
213,owais,1.0
214,kuro337,1.0
215,strafe,1.0
216,Kore-rep,1.0
217,popshia,1.0
218,Narfinger,1.0
219,EdmundsEcho,1.0
220,adityapandeydev,1.0
221,Zhurik,1.0
222,Spitfire1900,1.0
223,JounQin,1.0
224,flw-cn,1.0
225,dbanetto,1.0
226,mmatthews06,1.0
227,tchajed,1.0
228,JenSeReal,1.0
229,derhuerst,1.0
230,Aataprian12,1.0
231,Swatinem,1.0
232,erickhavel,1.0
233,nitish771,1.0
234,bartkummel,1.0
235,jchook,1.0
236,radix,1.0
237,nsabovic,1.0
238,afranke,1.0
239,dylanandrews-stripe,1.0
240,wimpsical,1.0
241,Yves848,1.0
242,pc-fmarin,1.0
243,czrcbl,1.0
244,kkpattern,1.0
245,josephtole,1.0
246,AlwaysIngame,1.0
247,kaplanelad,1.0
248,tyler36,1.0
249,vspcoderz,1.0
250,Soryyyn,1.0
251,whosethink,1.0
252,inklesspen,1.0
253,jasongitmail,1.0
254,danmacode,1.0
255,makampf,1.0
256,jgato,1.0
257,shuber2,1.0
258,BlaineEXE,1.0
259,brw,1.0
260,bugficks,1.0
261,wahmedswl,1.0
262,QingyaoLin,1.0
263,pfranz,1.0
264,diegoholiveira,1.0
265,vandrw,1.0
266,jescalan,1.0
267,Person-93,1.0
268,herder,1.0
269,Emsu,1.0
270,amgcc,1.0
271,bric3,1.0
272,jrop,1.0
273,matthis-k,1.0
274,showhwa,1.0
275,esarella,1.0
276,daniekpo,1.0
277,nickwb,1.0
278,iaomw,1.0
279,teake,1.0
280,chilledfrogs,1.0
281,DrHyde,1.0
282,mountainlizard,1.0
283,NorfairKing,1.0
284,createchange,1.0
285,jcoetzee,1.0
286,dvbnrg,1.0
287,freelock,1.0
288,kdarkhan,1.0
289,krubenok,1.0
290,HamishWHC,1.0
291,dpatterbee,1.0
292,Ricky-Tigg,1.0
293,vsviridov,1.0
294,ekorchmar,1.0
295,NetRat88,1.0
296,valeratrades,1.0
297,therealprof,1.0
298,RicaBenhossi,1.0
299,ncautotest,1.0
300,mapkon,1.0
301,zepvalue,1.0
302,Gautham,1.0
303,jaklan,1.0
304,EtaoinWu,1.0
305,github-actions,1.0
306,benkeil,1.0
307,mfs,1.0
308,acarl005,1.0
309,e-cal,1.0
310,tribut,1.0
311,Soraph,1.0
312,Heychsea,1.0
313,pszlazak,1.0
314,nadavf24,1.0
315,apollusehs-devops,1.0
316,fv-ian,1.0
317,olets,1.0
318,dhrue-raja-foundry,1.0
319,jfrikker-shibumi,1.0
320,teancom,1.0
321,BasixKOR,1.0
322,SeanLatimer,1.0
323,dmi-dmi-dmi,1.0
324,gsacre,1.0
325,melroy89,1.0
326,danielwaltz,1.0
327,oblitum,1.0
328,OneComputerGuy,1.0
329,divmgl,1.0
330,h4-h,1.0
331,lilymara-onesignal,1.0
332,jainpratik163,1.0
333,hirak1984,1.0
334,AwesomeKids652,1.0
335,rouge8,1.0
336,hacklash,1.0
337,steve-sv,1.0
338,dhruvkb,1.0
339,weseven,1.0
340,TrickyPi,1.0
341,Leonardo-Gerling,1.0
342,Grafikart,1.0
343,erikhuizinga,1.0
344,AdrienLemaire,1.0
345,helpermethod,1.0
346,bartman,1.0
347,clbx,1.0
348,oaksisfolks,1.0
349,Machine-Maker,1.0
350,sshyran,1.0
351,struthio,1.0
352,Stupremee,1.0
353,jarkkojs,1.0
354,wm75,1.0
355,DaniD3v,1.0
356,sapristi,1.0
357,derekthecool,1.0
358,micah,1.0
359,fabienengels,1.0
360,bedge,1.0
361,mmj2023,1.0
362,badnetmask,1.0
363,AminulBD,1.0
364,jagdishadusumalli,1.0
365,strniko,1.0
366,JuanZer0,1.0
367,Smana,1.0
368,jakwings,1.0
369,mcmillion,1.0
370,lentzi90,1.0
371,Bicheng-G,1.0
372,cappyzawa,1.0
373,ekil1100,1.0
374,bvdeenen,1.0
375,jab,1.0
376,ndreas,1.0
377,levone1,1.0
378,nubunto,1.0
379,qstrahl,1.0
380,kuno,1.0
381,securisec,1.0
382,yooakim,1.0
383,Miuler,1.0
384,nunesgh,1.0
385,user583953,1.0
386,hood,1.0
387,mordy-python,1.0
388,jakobneufeld,1.0
389,JQiue,1.0
390,AlexAntonik,1.0
391,Snimm,1.0
392,AidanHarveyNelson,1.0
393,cybernd,1.0
394,yuantongkang,1.0
395,iamveritas,1.0
396,mazzy89,1.0
397,romabysen,1.0
398,CoreyVidal,1.0
399,xavdid,1.0
400,eastwood,1.0
401,christoph-blessing,1.0
402,seamus-45,1.0
403,wilbeibi,1.0
404,lilyball,1.0
405,andrewda,1.0
406,aut0,1.0
407,allen-liaoo,1.0
408,sandorex,1.0
409,mothsART,1.0
410,thenorili,1.0
411,Konubinix,1.0
412,spikespaz,1.0
413,rEnr3n,1.0
414,zs-dima,1.0
415,dmohns,1.0
416,q66,1.0
417,rich1e,1.0
418,dysbulic,1.0
419,marcoieni,1.0
420,tiffafoo,1.0
421,vorburger,1.0
422,dten,1.0
423,ProMix0,1.0
424,myang7,1.0
425,Halkcyon,1.0
426,markatto,1.0
427,luizkowalski,1.0
428,atuleu,1.0
429,nc7s,1.0
430,joedborg,1.0
431,segevfiner,1.0
432,Forbidden-A,1.0
433,jwezel,1.0
434,Spaceface16518,1.0
435,RNBermudez,1.0
436,joshuacox,1.0
437,quiltedstars,1.0
438,mborejdo,1.0
439,paigr,1.0
440,ajc,1.0
441,morphykuffour,1.0
442,lewisacidic,1.0
443,srouquette,1.0
444,coderdiaz,1.0
445,Jaffrez,1.0
446,eaglgenes101,1.0
447,affanshahid,1.0
448,jankatins,1.0
449,jpickwell,1.0
450,pedromfedricci,1.0
451,iguyking,1.0
452,alepinio,1.0
453,bluebyt,1.0
454,williamwebb,1.0
455,diego898,1.0
456,souhaiebtar,1.0
457,poorvajasathasivam,1.0
458,phiresky,1.0
459,liheinz,1.0
460,CarterLi,1.0
461,joshhhhyyyy,1.0
462,paddycarver,1.0
463,ryanpcmcquen,1.0
464,rustysys-dev,1.0
465,AA1999,1.0
466,nonetrix,1.0
467,j0el,1.0
468,oaimtiaz,1.0
469,kouhe3,1.0
470,mhalano,1.0
471,pinbraerts,1.0
472,brsanthu,1.0
473,yonkeltron,1.0
474,SinghaniaV,1.0
475,rhzs,1.0
476,NightMachinery,1.0
477,ddbtrmatic,1.0
478,VulumeCode,1.0
479,freijon,1.0
480,nullndr,1.0
481,esposm03,1.0
482,CmdrNorthpaw,1.0
483,alex0112,1.0
484,tkgalk,1.0
485,rbutoi,1.0
486,schrej,1.0
487,heyrict,1.0
488,tessus,1.0
489,tmpm697,1.0
490,DavidSSL,1.0
491,BuZZ-dEE,1.0
492,juliuswz,1.0
493,rothgar,1.0
494,Saya47,1.0
495,cubetastic33,1.0
496,rryan,1.0
497,kohenkatz,1.0
498,djc,1.0
499,gmaghera,1.0
500,Craftidore,1.0
501,zeenix,1.0
502,mantzas,1.0
503,phillies,1.0
504,beppler,1.0
505,Forza-tng,1.0
506,mngshm,1.0
507,leana8959,1.0
508,matchai,1.0
509,Ray-Eldath,1.0
510,dbeckwith,1.0
511,haoadoreorange,1.0
512,TsubasaKawajiri,1.0
513,matsdahlin,1.0
514,pluiedev,1.0
515,khuongduybui,1.0
516,FreeHarry,1.0
517,marier-nico,1.0
518,leexiaominghub,1.0
519,ThatRendle,1.0
520,ghostbuster91,1.0
521,zot,1.0
522,rafasoares,1.0
523,sghng,1.0
524,Pandademic,1.0
525,matthiasbeyer,1.0
526,behrangsa,1.0
527,fmaiabatista,1.0
528,recursiveribbons,1.0
529,xa888s,1.0
530,brianmay,1.0
531,rnnc,1.0
532,njordr,1.0
533,albertopasqualetto,1.0
534,ps173,1.0
535,psychvc,1.0
536,Erudition,1.0
537,akkadaya,1.0
538,ylor,1.0
539,peteromero,1.0
540,Pyblo,1.0
541,alper,1.0
542,ryz0rg,1.0
543,amyspark,1.0
544,janrito,1.0
545,bestagi,1.0
546,Davidferl,1.0
547,neerajnangireddy,1.0
548,bjeanes,1.0
549,anantajit,1.0
550,oteku,1.0
551,att55,1.0
552,grodin,1.0
553,talios,1.0
554,MurtadhaInit,1.0
555,atomi,1.0
556,ralyodio,1.0
557,dereckson,1.0
558,SushritPasupuleti,1.0
559,MeridianGH,1.0
560,eggcaker,1.0
561,LunarLambda,1.0
562,indigoviolet,1.0
563,pitoniak32,1.0
564,Arto-O,1.0
565,stefanobaghino-da,1.0
566,hongquan,1.0
567,adhadse,1.0
568,whateverforever,1.0
569,kevinkirkup,1.0
570,kakulukia,1.0
571,taybart,1.0
572,lberrymage,1.0
573,donifer,1.0
574,kapad,1.0
575,jonndailey,1.0
576,aravind-n,1.0
577,Shan-KulK,1.0
578,melink14,1.0
579,BVollmerhaus,1.0
580,Byron-Ding,1.0
581,igor-raits,1.0
582,kilokon,1.0
583,whi-tw,1.0
584,Autumnal-Joy,1.0
585,imranhasan871,1.0
586,AndrewGuenther,1.0
587,Hayashi-Yudai,1.0
588,leonard84,1.0
589,DanScharon,1.0
590,wtho,1.0
591,fold-squirrel,1.0
592,g2p,1.0
593,dineshba,1.0
594,kergoth,1.0
595,minhduc0711,1.0
596,clayauld,1.0
597,Hol1kgmg,1.0
598,jschuur,1.0
599,HymanZHAN,1.0
600,jtyler76,1.0
601,johnbchron,1.0
602,terminalmage,1.0
603,alerque,1.0
604,liby,1.0
605,youssef-mostafa1,1.0
606,JanPokorny,1.0
607,Multimo,1.0
608,varidm,1.0
609,tombh,1.0
610,peschkaj,1.0
611,CodeThomnics,1.0
612,danimesq,1.0
613,Efreak,1.0
614,TechClusterHQ,1.0
615,kdheepak,1.0
616,geozeke,1.0
617,cathaysia,1.0
618,mmuruev,1.0
619,0xinhua,1.0
620,ChasNelson1990,1.0
621,totikom,1.0
622,matthiaskrgr,1.0
623,Mr-Ao-Dragon,1.0
624,OmgImAlexis,1.0
625,joeky888,1.0
626,scottslowe,1.0
627,verdayne,1.0
628,johnmerchant,1.0
629,Tarang,1.0
630,Daydreamer-riri,1.0
631,Sciencentistguy,1.0
632,Jackaed,1.0
633,martensjostrand,1.0
634,Nazrulislam783,1.0
635,michel-slm,1.0
636,hriddhidey,1.0
637,sbushmanov,1.0
638,mrturcot,1.0
639,realguse,1.0
640,videbar,1.0
641,madonuko,1.0
642,xrunes,1.0
643,Bilge,1.0
644,chschmir,1.0
645,daniel-white,1.0
646,wael-sadek,1.0
647,WinteryFox,1.0
648,jzetterman,1.0
649,anthonyma94,1.0
650,tttanikawa,1.0
651,jim-barber-he,1.0
652,januz,1.0
653,necrose99,1.0
654,makerio90,1.0
655,rgeraskin,1.0
656,mgpinf,1.0
657,oeuftete,1.0
658,djdv,1.0
659,ccqpein,1.0
660,sgoudham,1.0
661,ngraef,1.0
662,nikoheikkila,1.0
663,vrinek,1.0
664,danilofuchs,1.0
665,peytondmurray,1.0
666,tushartgupta,1.0
667,taphill,1.0
668,japhir,1.0
669,MaximusPrimeForever,1.0
670,Adrian-Grimm,1.0
671,SPiCaRiA,1.0
672,make-github-pseudonymous-again,1.0
673,Rexhaif,1.0
674,lewisdiamond,1.0
675,vladimyr,1.0
676,bluskript,1.0
677,dmitry-minchuk,1.0
678,smithfred,1.0
679,mcgivrer,1.0
680,SuvanCheng,1.0
681,HofmannZ,1.0
682,rijojohn85,1.0
683,smorimoto,1.0
684,hyunsooda,1.0
685,jhilliker,1.0
686,ocelik94,1.0
687,its-19818942118,1.0
688,jsvensson,1.0
689,hivehand,1.0
690,thewh1teagle,1.0
691,kyoheiu,1.0
692,lil-skelly,1.0
693,eminence,1.0
694,gitpushforcemain,1.0
695,Ktoks,1.0
696,Vader699,1.0
697,catleeball,1.0
698,foo-dogsquared,1.0
699,jimblue,1.0
700,yutannihilation,1.0
701,mery6299,1.0
702,orefalo,1.0
703,Dietr1ch,1.0
704,mrichar1,1.0
705,TheGentleChainsaw,1.0
706,rpdelaney,1.0
707,J-Kappes,1.0
708,ilinvai,1.0
709,derethil,1.0
710,tkey91,1.0
711,namorzyny,1.0
712,037g,1.0
713,mmvanheusden,1.0
714,lorthirk,1.0
715,ndland,1.0
716,tylerbenson,1.0
717,sander2,1.0
718,khos2ow,1.0
719,eggbean,1.0
720,jakobnissen,1.0
721,mylo17,1.0
722,kevwil,1.0
723,0x0D15,1.0
724,nick5435,1.0
725,EliSauder,1.0
726,dspvvy,1.0
727,eriol,1.0
728,endrebak,1.0
729,PinguinLars,1.0
730,philn,1.0
731,ofek,1.0
732,nouritsu,1.0
733,leleliu008,1.0
734,zeten30,1.0
735,nedbat,1.0
736,Cielquan,1.0
737,petterhoel,1.0
738,lycheeje11y,1.0
739,erdnaxeli,1.0
740,martinsvensson-sonepar,1.0
741,kinchahoy,1.0
742,r-darwish,1.0
743,pedro-pereira-dev,1.0
744,rob83gh,1.0
745,xinxilas,1.0
746,ariasuni,1.0
747,TyPR124,1.0
748,antoniovuono,1.0
749,epage,1.0
750,thedodd,1.0
751,nathanscain,1.0
752,lopopolo,1.0
753,egvimo,1.0
754,pommepommee,1.0
755,gs-101,1.0
756,MarkusvonStaden,1.0
757,og900aero,1.0
758,lsq27,1.0
759,benvansleen,1.0
760,Livven,1.0
761,rchojn,1.0
762,Freaky,1.0
763,grimm26,1.0
764,gvelchuru,1.0
765,AlexandreBossard,1.0
766,domsleee,1.0
767,Nukecraft5419,1.0
768,that70schris,1.0
769,fredericrous,1.0
770,johnjohndoe,1.0
771,0xDones,1.0
772,marc0der,1.0
773,Astrantia,1.0
774,raffaem,1.0
775,pzelnip,1.0
776,huudatt02,1.0
777,italo-turing,1.0
778,kvnxiao,1.0
779,Vitruves,1.0
780,nullCommit,1.0
781,flashios09,1.0
782,ilium007,1.0
783,tlerbao,1.0
784,alesniak303,1.0
785,prashaathr,1.0
786,nikmennega,1.0
787,igor-petruk,1.0
788,zartc,1.0
789,florianb,1.0
790,ccmywish,1.0
791,nattadasu,1.0
792,princemaple,1.0
793,martinnormark,1.0
794,mfasman95,1.0
795,homburg,1.0
796,tkintscher,1.0
797,tur1ngb0x,1.0
798,sondrelg,1.0
799,ethanquix,1.0
800,tranzystorekk,1.0
801,Packjackisback,1.0
802,Lucretiel,1.0
803,philsinatra,1.0
804,jenwagn,1.0
805,mrclrchtr,1.0
806,archetyped,1.0
807,emorevival,1.0
808,ArtemChandragupta,1.0
809,starkers,1.0
810,mthmulders,1.0
811,DianaOlympos,1.0
812,ilmanzo,1.0
813,etrigan63,1.0
814,alexeygrant,1.0
815,malikoth,1.0
816,Yura52,1.0
817,Ch4ni,1.0
818,socketbox,1.0
819,SarthakSingh31,1.0
820,davisssamuel,1.0
821,Mossop,1.0
822,armlesshobo,1.0
823,QuentinHsu,1.0
824,cysabi,1.0
825,cogumbreiro,1.0
826,anoduck,1.0
827,rmarting,1.0
828,IThundxr,1.0
829,Derpitron,1.0
830,pydmy7,1.0
831,fuzzy,1.0
832,particledecay,1.0
833,taitep,1.0
834,cjellerRunbeck,1.0
835,Siddharth-Gandhi,1.0
836,npp127,1.0
837,AndreasBackx,1.0
838,21st-centuryman,1.0
839,feralnat19888,1.0
840,xulongwu4,1.0
841,alok,1.0
842,dcow,1.0
843,rhutch117,1.0
844,agude,1.0
845,libesz,1.0
846,legeana,1.0
847,sofiedotcafe,1.0
848,watersb,1.0
849,daadu,1.0
850,yunfachi,1.0
851,Snuggle,1.0
852,JasonEtco,1.0
853,SimonTheLeg,1.0
854,moonwitch,1.0
855,msfjarvis,1.0
856,NewtonChutney,1.0
857,yozhgoor,1.0
858,adamhamilton44,1.0
859,aduong,1.0
860,philipbordallo,1.0
861,DarkPark,1.0
862,julianneswinoga,1.0
863,godalming123,1.0
864,abonforti,1.0
865,gabebw,1.0
866,zapman449,1.0
867,wbrickner,1.0
868,ammnt,1.0
869,Dentrax,1.0
870,timothynn,1.0
871,der-daniel,1.0
872,fennewald,1.0
873,hwmrocker,1.0
874,as3ii,1.0
875,Prachitbooks,1.0
876,danrl,1.0
877,nazq,1.0
878,luciofstars,1.0
879,hectoruelo,1.0
880,malshunaef,1.0
881,aw1cks,1.0
882,Zesko,1.0
883,Dr-ZeeD,1.0
884,peng1999,1.0
885,lovesegfault,1.0
886,tgrelka,1.0
887,avysk,1.0
888,JulesdeCube,1.0
889,injust,1.0
890,alexdauenhauer,1.0
891,flovilmart,1.0
892,CSumm,1.0
893,Lockszmith-GH,1.0
894,bianchidotdev,1.0
895,NullVoxPopuli,1.0
896,madhur,1.0
897,nwaywood,1.0
898,NextAlone,1.0
899,techhazard,1.0
900,tisyang,1.0
901,JonasOlson,1.0
902,dkowis,1.0
903,DrPyser,1.0
904,dvsekhvalnov,1.0
905,iArmanKarimi,1.0
906,neyb,1.0
907,bfeitknecht,1.0
908,aftix,1.0
909,jimhigson,1.0
910,kettleofketchup,1.0
911,l-c-g,1.0
912,gregorni,1.0
913,dnet890,1.0
914,eagle-r,1.0
915,TahomaSoft,1.0
916,tiksn,1.0
917,komar007,1.0
918,caffeineflo,1.0
919,gnachman,1.0
920,wireinet,1.0
921,Kab1r,1.0
922,smashaal,1.0
923,bergercookie,1.0
924,jaikarans,1.0
925,aatifsyed,1.0
926,ryanjafari,1.0
927,keysmashes,1.0
928,chipbuster,1.0
929,danielbayley,1.0
930,romanlevin,1.0
931,folliehiyuki,1.0
932,karbica,1.0
933,acornejo,1.0
934,gustavoabel,1.0
935,Mgldvd,1.0
936,bpleonardo,1.0
937,thekorn87,1.0
938,joliss,1.0
939,Drllap,1.0
940,Lakbaypanahon,1.0
941,willdoescode,1.0
942,azone,1.0
943,chtenb,1.0
944,paraduxos,1.0
945,AlejandroSuero,1.0
946,cko-jimmy-wong,1.0
947,cawaltrip,1.0
948,jrjsmrtn,1.0
949,JediRhymeTrix,1.0
950,Ashvith10,1.0
951,Super-Pizza,1.0
952,cogwheel,1.0
953,G-Rath,1.0
954,ethnt,1.0
955,guillemglez,1.0
956,polymo1,1.0
957,TheSkyentist,1.0
958,AlexCzar,1.0
959,giard-alexandre,1.0
960,HenryC983,1.0
961,ubolonton,1.0
962,davidtwco,1.0
963,vmj,1.0
964,lubaroli,1.0
965,jjorissen52,1.0
966,mathomp4,1.0
967,tim77,1.0
968,amangalampalli,1.0
969,cardin,1.0
970,ya2s,1.0
971,MycrofD,1.0
972,NoraCodes,1.0
973,TheElegantCoding,1.0
974,michidk,1.0
975,jvanderen1,1.0
976,eikooc,1.0
977,pythoninthegrass,1.0
978,insysion,1.0
979,nimishbongale,1.0
980,noib3,1.0
981,fpiem,1.0
